,precision,recall,f1-score,support
0,0.8623853211009175,0.02933832709113608,0.05674615152429822,3204.0
1,0.19513457556935818,0.9804941482444733,0.32549104252104466,769.0
accuracy,0.21344072489302793,0.21344072489302793,0.21344072489302793,0.21344072489302793
macro avg,0.5287599483351378,0.5049162376678047,0.19111859702267145,3973.0
weighted avg,0.7332345978908069,0.21344072489302793,0.10876347374340167,3973.0
