,precision,recall,f1-score,support
0,1.0,0.0002785127419579446,0.0005568703884170959,7181.0
1,0.09641283826305853,1.0,0.17586959017334405,766.0
accuracy,0.096640241600604,0.096640241600604,0.096640241600604,0.096640241600604
macro avg,0.5482064191315292,0.500139256370979,0.08821323028088057,7947.0
weighted avg,0.9129045217200834,0.096640241600604,0.01745501350597769,7947.0
