,precision,recall,f1-score,support
0,0.6321428571428571,0.6604477611940298,0.6459854014598541,804.0
1,0.6355140186915887,0.6063694267515923,0.6205997392438071,785.0
accuracy,0.6337319068596602,0.6337319068596602,0.6337319068596602,0.6337319068596602
macro avg,0.633828437917223,0.6334085939728111,0.6332925703518306,1589.0
weighted avg,0.6338082830810285,0.6337319068596602,0.6334443411454445,1589.0
