,precision,recall,f1-score,support
0,0.1,0.009966777408637873,0.01812688821752266,301.0
1,0.9189997281870074,0.9920774647887324,0.954141385635671,3408.0
accuracy,0.9123753033162577,0.9123753033162577,0.9123753033162577,0.9123753033162577
macro avg,0.5094998640935037,0.5010221210986852,0.4861341369265968,3709.0
weighted avg,0.8525346653171532,0.9123753033162577,0.8781801120517231,3709.0
