,precision,recall,f1-score,support
0,0.0,0.0,0.0,3204.0
1,0.1935565064183237,1.0,0.3243357233234922,769.0
accuracy,0.1935565064183237,0.1935565064183237,0.1935565064183237,0.1935565064183237
macro avg,0.09677825320916185,0.5,0.1621678616617461,3973.0
weighted avg,0.03746412117686658,0.1935565064183237,0.06277728951315517,3973.0
