,precision,recall,f1-score,support
0,0.9745181098742324,1.0,0.9870946283053385,29677.0
1,0.0,0.0,0.0,776.0
accuracy,0.9745181098742324,0.9745181098742324,0.9745181098742324,0.9745181098742324
macro avg,0.4872590549371162,0.5,0.4935473141526692,30453.0
weighted avg,0.9496855464728465,0.9745181098742324,0.9619415914431264,30453.0
