,precision,recall,f1-score,support
0,0.9655172413793104,1.0,0.9824561403508771,28.0
1,0.0,0.0,0.0,1.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.4827586206896552,0.5,0.49122807017543857,29.0
weighted avg,0.9322235434007135,0.9655172413793104,0.9485783424077435,29.0
