,precision,recall,f1-score,support
0,0.8529411764705882,0.018102372034956304,0.035452322738386305,3204.0
1,0.19436619718309858,0.9869960988296489,0.3247753530166881,769.0
accuracy,0.20563805688396677,0.20563805688396677,0.20563805688396677,0.20563805688396677
macro avg,0.5236536868268434,0.5025492354323026,0.1801138378775372,3973.0
weighted avg,0.7254697042651818,0.20563805688396677,0.09145267770541728,3973.0
