,precision,recall,f1-score,support
0.0,0.981756786387756,0.7375061769066051,0.8422815004326724,30355.0
1.0,0.058712344949793265,0.5443592552026287,0.10599274898699083,913.0
accuracy,0.7318664449277217,0.7318664449277217,0.7318664449277217,0.7318664449277217
macro avg,0.5202345656687746,0.640932716054617,0.4741371247098316,31268.0
weighted avg,0.9548046444204776,0.7318664449277217,0.8207824717109791,31268.0
